Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
03:30 - 04:00,41793.14,-12.25,41805.54,41823,41739.61,1798,N.A.
04:00 - 04:30,41815.55,22.41,41793.14,41843.07,41792.96,1796,N.A.
04:30 - 05:00,41856.58,41.03,41814.68,41877.22,41812.7,1798,N.A.
05:00 - 05:30,41859.69,3.11,41856.58,41859.69,41856.58,1797,N.A.
05:30 - 06:00,41859.69,0,41859.69,41859.69,41859.69,1798,N.A.
06:00 - 06:30,41859.69,0,41859.69,41859.69,41859.69,1798,N.A.
22:30 - 23:00,41821.39,-38.3,41883.54,41883.54,41770.9,1367,N.A.
23:00 - 23:30,41823.08,1.69,41821.37,41903.18,41795.23,1797,N.A.
23:30 - 00:00,41857.18,34.1,41823.08,41888.83,41822.46,1797,N.A.
14JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41846.95,-10.23,41856.98,41857.3,41801.86,1798,N.A.
00:30 - 01:00,41827.55,-19.4,41846.98,41862.54,41821.74,1799,N.A.
01:00 - 01:30,41861.73,34.18,41828.24,41867.23,41817.42,1797,N.A.
01:30 - 02:00,41872.58,10.85,41862.7,41903.5,41851.38,1797,N.A.
02:00 - 02:30,41849.02,-23.56,41871.98,41893.08,41849.02,1798,N.A.
02:30 - 03:00,41852.18,3.16,41849.02,41881.7,41847.07,1798,N.A.
03:00 - 03:30,41828.94,-23.24,41851.11,41884.62,41823.93,1797,N.A.
03:30 - 04:00,41890.68,61.74,41828.56,41891.67,41817.09,1796,N.A.
04:00 - 04:30,41962.83,72.15,41891.02,41971.55,41864.74,1797,N.A.
04:30 - 05:00,41948.93,-13.9,41964.56,41994.26,41927.04,1798,N.A.
05:00 - 05:30,41952.63,3.7,41948.93,41952.63,41948.93,1792,N.A.
05:30 - 06:00,41952.63,0,41952.63,41952.63,41952.63,1797,N.A.
06:00 - 06:30,41952.63,0,41952.63,41952.63,41952.63,1798,N.A.
22:30 - 23:00,41790.31,-162.32,41969.32,41969.86,41779.73,1370,N.A.
23:00 - 23:30,41767.52,-22.79,41790.36,41811.05,41741.03,1797,N.A.
23:30 - 00:00,41767.44,-0.08,41768.39,41795.7,41723.46,1798,N.A.
15JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41734.6,-32.84,41766.64,41780.47,41718.15,1797,N.A.
00:30 - 01:00,41748.14,13.54,41734.59,41780.36,41731.29,1797,N.A.
01:00 - 01:30,41751.54,3.4,41747.89,41771.48,41734.65,1797,N.A.
01:30 - 02:00,41687.81,-63.73,41751.74,41752.93,41677.62,1798,N.A.
02:00 - 02:30,41697.41,9.6,41687.81,41720.03,41682.48,1797,N.A.
02:30 - 03:00,41707.38,9.97,41697.41,41737.35,41697.41,1797,N.A.
03:00 - 03:30,41673.4,-33.98,41706.96,41712.88,41648.11,1797,N.A.
03:30 - 04:00,41769.04,95.64,41673.34,41770.67,41672.42,1798,N.A.
04:00 - 04:30,41764.01,-5.03,41769.04,41800.15,41726.12,1796,N.A.
04:30 - 05:00,41854.31,90.3,41764.45,41915.64,41764.45,1797,N.A.
05:00 - 05:30,41872.73,18.42,41854.31,41872.73,41854.31,1797,N.A.
05:30 - 06:00,41872.73,0,41872.73,41872.73,41872.73,1799,N.A.
06:00 - 06:30,41872.73,0,41872.73,41872.73,41872.73,1796,N.A.
22:30 - 23:00,41962.42,89.69,41924.67,42009.92,41886.06,1368,N.A.
23:00 - 23:30,42019.34,56.92,41964.04,42058.85,41961.23,1797,N.A.
23:30 - 00:00,41920.85,-98.49,42019.34,42029.61,41912.38,1798,N.A.
16JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41885.75,-35.1,41921.03,41953.82,41879.43,1797,N.A.
00:30 - 01:00,41853.89,-31.86,41885.58,41885.58,41812.28,1797,N.A.
01:00 - 01:30,41856.12,2.23,41853.89,41879.5,41840.4,1797,N.A.
01:30 - 02:00,41825.36,-30.76,41856.83,41858.97,41812.69,1797,N.A.
02:00 - 02:30,41864.5,39.14,41825.36,41887.16,41819.92,1797,N.A.
02:30 - 03:00,41924.3,59.8,41864.68,41947.49,41864.32,1798,N.A.
03:00 - 03:30,41945.37,21.07,41924.86,41947.13,41896.47,1799,N.A.
03:30 - 04:00,41937.5,-7.87,41944.75,41975.44,41921.79,1797,N.A.
04:00 - 04:30,41920.44,-17.06,41937.5,41963.85,41909.82,1797,N.A.
04:30 - 05:00,41931.69,11.25,41920.38,41951.79,41896.55,1797,N.A.
05:00 - 05:30,41932.56,0.87,41931.69,41932.56,41931.69,1799,N.A.
05:30 - 06:00,41932.56,0,41932.56,41932.56,41932.56,1797,N.A.
06:00 - 06:30,41932.56,0,41932.56,41932.56,41932.56,1797,N.A.
22:30 - 23:00,41932.75,0.19,41929.02,41955.62,41850.91,1372,N.A.
23:00 - 23:30,41987.69,54.94,41931.87,41989.06,41864.91,1798,N.A.
23:30 - 00:00,42016.41,28.72,41989.23,42046.58,41989.23,1797,N.A.
17JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,42032.19,15.78,42015.7,42063.93,42015.14,1797,N.A.
00:30 - 01:00,41956.24,-75.95,42030.94,42040.41,41951.69,1798,N.A.
01:00 - 01:30,41952.88,-3.36,41956.24,41968.82,41923.28,1797,N.A.
01:30 - 02:00,41967.98,15.1,41952.88,41970.17,41900.84,1797,N.A.
02:00 - 02:30,41944.63,-23.35,41967.98,41985.7,41928.46,1797,N.A.
02:30 - 03:00,42005.31,60.68,41944.54,42005.52,41943.93,1798,N.A.
03:00 - 03:30,41991.31,-14,42004.89,42004.89,41967.58,1797,N.A.
03:30 - 04:00,41960.74,-30.57,41991.31,42002.42,41939.25,1797,N.A.
04:00 - 04:30,41977.21,16.47,41958.88,41982.17,41940.04,1797,N.A.
04:30 - 05:00,41945.05,-32.16,41976.85,42017,41927.79,1798,N.A.
05:00 - 05:30,41945.37,0.32,41945.05,41945.37,41945.05,1797,N.A.
05:30 - 06:00,41945.37,0,41945.37,41945.37,41945.37,1797,N.A.
06:00 - 06:30,41945.37,0,41945.37,41945.37,41945.37,1798,N.A.
19JAN2020_00:00:00.000000,,,,,,,
22:30 - 23:00,42040.65,95.28,42266.74,42266.74,42020.5,1367,N.A.
23:00 - 23:30,41878.55,-162.1,42036.23,42048.58,41851.97,1797,N.A.
23:30 - 00:00,41811.25,-67.3,41878.55,41878.55,41796.91,1798,N.A.
20JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41811.81,0.56,41813.02,41831.08,41709.85,1798,N.A.
00:30 - 01:00,41743.32,-68.49,41807.74,41825.97,41733.62,1797,N.A.
01:00 - 01:30,41772.47,29.15,41743.4,41784.41,41740.98,1798,N.A.
01:30 - 02:00,41772.24,-0.23,41772.04,41785.76,41744.55,1797,N.A.
02:00 - 02:30,41662.27,-109.97,41772.55,41781.49,41649.53,1798,N.A.
02:30 - 03:00,41650.21,-12.06,41662.29,41677.02,41594.89,1796,N.A.
03:00 - 03:30,41627.81,-22.4,41650.53,41667.28,41605.39,1797,N.A.
03:30 - 04:00,41570.55,-57.26,41627.81,41714.62,41557.98,1798,N.A.
04:00 - 04:30,41560.84,-9.71,41569.32,41621.15,41546.07,1797,N.A.
04:30 - 05:00,41545.79,-15.05,41558.15,41597.23,41503.67,1797,N.A.
05:00 - 05:30,41528.91,-16.88,41545.79,41545.79,41528.91,1798,N.A.
05:30 - 06:00,41528.91,0,41528.91,41528.91,41528.91,1797,N.A.
06:00 - 06:30,41528.91,0,41528.91,41528.91,41528.91,1798,N.A.
22:30 - 23:00,41458.63,-70.28,41467.39,41487.57,41301.75,1373,N.A.
23:00 - 23:30,41501.56,42.93,41464.44,41532.26,41418.42,1797,N.A.
23:30 - 00:00,41401.07,-100.49,41501.56,41502.85,41380.98,1798,N.A.
21JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41364.02,-37.05,41399.68,41405.47,41333.65,1797,N.A.
00:30 - 01:00,41377.22,13.2,41363.02,41410.99,41340.63,1797,N.A.
01:00 - 01:30,41430.03,52.81,41375.88,41440.46,41370.14,1797,N.A.
01:30 - 02:00,41418.14,-11.89,41429.83,41472.51,41402.22,1798,N.A.
02:00 - 02:30,41397.22,-20.92,41418.14,41422.24,41373.08,1797,N.A.
02:30 - 03:00,41406.7,9.48,41397.22,41437.07,41384.99,1797,N.A.
03:00 - 03:30,41402.8,-3.9,41406.7,41413.22,41359.79,1797,N.A.
03:30 - 04:00,41358.33,-44.47,41402.8,41405.06,41315.86,1798,N.A.
04:00 - 04:30,41400.71,42.38,41358.24,41441.58,41353.63,1797,N.A.
04:30 - 05:00,41330.36,-70.35,41400.4,41401.16,41294.8,1797,N.A.
05:00 - 05:30,41323.81,-6.55,41330.36,41330.36,41323.81,1798,N.A.
05:30 - 06:00,41323.81,0,41323.81,41323.81,41323.81,1796,N.A.
06:00 - 06:30,41323.81,0,41323.81,41323.81,41323.81,1797,N.A.
22:30 - 23:00,41447.92,124.11,41468.3,41530.83,41431.58,1369,N.A.
23:00 - 23:30,41401.87,-46.05,41449.21,41473.99,41375,1798,N.A.
23:30 - 00:00,41229.49,-172.38,41401.64,41401.64,41198.27,1797,N.A.
22JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41261.48,31.99,41228.03,41287.57,41205.05,1798,N.A.
00:30 - 01:00,41227.86,-33.62,41261.37,41269.17,41197.71,1798,N.A.
01:00 - 01:30,41203.84,-24.02,41227.86,41245.91,41174.03,1797,N.A.
01:30 - 02:00,41236.92,33.08,41204.6,41243.31,41166.18,1798,N.A.
02:00 - 02:30,41235.15,-1.77,41237.49,41243.36,41206.65,1798,N.A.
02:30 - 03:00,41198.86,-36.29,41235.2,41254.03,41193.59,1799,N.A.
03:00 - 03:30,41197.88,-0.98,41196.61,41231.11,41169.91,1798,N.A.
03:30 - 04:00,41084.91,-112.97,41198.42,41200.2,41059.04,1797,N.A.
04:00 - 04:30,41126.26,41.35,41084.91,41168.54,41081.69,1798,N.A.
04:30 - 05:00,41135.1,8.84,41133.27,41167.67,41080.05,1797,N.A.
05:00 - 05:30,41115.38,-19.72,41135.1,41135.1,41115.38,1797,N.A.
05:30 - 06:00,41115.38,0,41115.38,41115.38,41115.38,1797,N.A.
06:00 - 06:30,41115.38,0,41115.38,41115.38,41115.38,1798,N.A.
22:30 - 23:00,41257.82,142.44,41201.45,41269.69,41100.08,1365,N.A.
23:00 - 23:30,41343.98,86.16,41259.26,41375.91,41235.84,1797,N.A.
23:30 - 00:00,41272.34,-71.64,41344.58,41345.62,41262.69,1797,N.A.
23JAN2020_00:00:00.000000,,,,,,,
00:00 - 00:30,41217.49,-54.85,41272.86,41287.53,41209.13,1798,N.A.
00:30 - 01:00,41177.86,-39.63,41217.49,41220.6,41139.16,1797,N.A.
01:00 - 01:30,41208.14,30.28,41178.11,41232.09,41175.91,1799,N.A.
01:30 - 02:00,41253.17,45.03,41208.14,41281.74,41183.87,1797,N.A.
02:00 - 02:30,41322.2,69.03,41254.14,41331.96,41249.89,1796,N.A.
02:30 - 03:00,41360.45,38.25,41320.98,41399.2,41317.91,1799,N.A.
03:00 - 03:30,41318.03,-42.42,41359.93,41365.29,41317.72,1797,N.A.
03:30 - 04:00,41349.05,31.02,41318.03,41379.05,41313.79,1798,N.A.
04:00 - 04:30,41335.53,-13.52,41349.68,41358.44,41317.78,1797,N.A.
04:30 - 05:00,41380.15,44.62,41336.16,41413.85,41335.37,1798,N.A.
05:00 - 05:30,41386.4,6.25,41380.15,41386.4,41380.15,1799,N.A.
05:30 - 06:00,41386.4,0,41386.4,41386.4,41386.4,1798,N.A.
06:00 - 06:30,41386.4,0,41386.4,41386.4,41386.4,1798,N.A.
22:30 - 23:00,41356.83,-29.57,41373.48,41420.02,41276.41,1365,N.A.
