Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
09:00 - 09:30,3128.92,12.01,3117.14,3131.72,3112.81,1800,N.A.
09:30 - 10:00,3138.68,9.76,3128.51,3148.29,3128.39,1800,N.A.
10:00 - 10:30,3134.36,-4.32,3138.59,3140,3130.96,1800,N.A.
10:30 - 11:00,3133.91,-0.45,3134.84,3135.58,3131.22,600,N.A.
16JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3152.26,18.35,3141.26,3154.15,3137.52,1795,N.A.
02:30 - 03:00,3155.71,3.45,3152.06,3158.56,3151.39,1799,N.A.
03:00 - 03:30,3156.71,1,3155.77,3161.62,3154.5,1799,N.A.
03:30 - 04:00,3157.12,0.41,3156.64,3163.2,3156.15,1799,N.A.
04:00 - 04:30,3158.28,1.16,3157.23,3161.6,3156.06,1800,N.A.
04:30 - 05:00,3155.96,-2.32,3158.3,3159.6,3153.66,1798,N.A.
05:00 - 05:30,3156.38,0.42,3155.96,3158.83,3153.63,1799,N.A.
05:30 - 06:00,3157.15,0.77,3156.36,3159.4,3153.8,1799,N.A.
06:00 - 06:30,3153.65,-3.5,3157.31,3157.92,3153.09,1797,N.A.
06:30 - 07:00,3153.51,-0.14,3153.65,3155.79,3151.79,1799,N.A.
07:00 - 07:30,3155.7,2.19,3153.53,3156.56,3153.48,1799,N.A.
07:30 - 08:00,3155.58,-0.12,3155.71,3157.75,3154.44,1798,N.A.
08:00 - 08:30,3154.43,-1.15,3155.67,3156.21,3151.64,1800,N.A.
08:30 - 09:00,3152.87,-1.56,3153.98,3155.54,3151.28,1800,N.A.
09:00 - 09:30,3155.25,2.38,3152.84,3155.45,3151.27,1799,N.A.
09:30 - 10:00,3155.69,0.44,3155.2,3156.58,3151.73,1799,N.A.
10:00 - 10:30,3152.92,-2.77,3155.5,3155.77,3152.07,1800,N.A.
10:30 - 11:00,3153.91,0.99,3152.91,3154.08,3151.99,599,N.A.
17JAN2020_00:00:00.000000,,,,,,,
02:00 - 02:30,3167.45,13.54,3161.25,3168.44,3159.23,1801,N.A.
02:30 - 03:00,3178.72,11.27,3167.58,3179.35,3166.67,1800,N.A.
03:00 - 03:30,3181.91,3.19,3178.87,3183.96,3175.14,1800,N.A.
03:30 - 04:00,3185.88,3.97,3181.89,3188.07,3181.89,1800,N.A.
04:00 - 04:30,3190.38,4.5,3185.96,3194.08,3184.4,1798,N.A.
