Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
22:45 - 23:15,3086.325,0,3086.325,3086.325,3086.325,470,N.A.
23:15 - 23:45,3086.325,0,3086.325,3086.325,3086.325,470,N.A.
23:45 - 00:15,3086.944,0.619,3086.325,3088.202,3085.35,469,N.A.
15JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3084.209,-2.735,3086.944,3087.278,3082.279,470,N.A.
00:45 - 01:15,3090.994,6.785,3084.382,3091.414,3083.856,467,N.A.
01:15 - 01:45,3091.325,0.331,3090.994,3096.475,3090.837,468,N.A.
01:45 - 02:15,3090.038,-1.287,3091.673,3091.673,3088.415,312,N.A.
20:15 - 20:45,3090.131,0.093,3095.734,3096.337,3081.529,304,N.A.
20:45 - 21:15,3088.352,-1.779,3090.448,3092.258,3085.553,468,N.A.
21:15 - 21:45,3082.216,-6.136,3087.833,3089.875,3081.804,467,N.A.
21:45 - 22:15,3081.139,-1.077,3081.303,3084.499,3077.182,468,N.A.
22:15 - 22:45,3081.378,0.239,3081.139,3082.425,3079.918,469,N.A.
22:45 - 23:15,3081.378,0,3081.378,3081.378,3081.378,470,N.A.
23:15 - 23:45,3081.378,0,3081.378,3081.378,3081.378,470,N.A.
23:45 - 00:15,3081.898,0.52,3081.378,3082.307,3079.574,469,N.A.
16JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3080.083,-1.815,3081.48,3082.531,3076.872,468,N.A.
00:45 - 01:15,3077.142,-2.941,3079.607,3080.984,3075.345,467,N.A.
01:15 - 01:45,3074.513,-2.629,3077.429,3077.547,3070.884,468,N.A.
01:45 - 02:15,3074.081,-0.432,3073.898,3075.439,3073.638,313,N.A.
20:15 - 20:45,3079.556,5.475,3081.464,3085.351,3079.556,303,N.A.
20:45 - 21:15,3088.7,9.144,3079.556,3091.592,3077.042,468,N.A.
21:15 - 21:45,3089.019,0.319,3089.019,3091.327,3085.597,468,N.A.
21:45 - 22:15,3080.583,-8.436,3089.019,3089.019,3080.129,468,N.A.
22:15 - 22:45,3076.904,-3.679,3080.583,3081.698,3076.154,469,N.A.
22:45 - 23:15,3076.904,0,3076.904,3076.904,3076.904,470,N.A.
23:15 - 23:45,3076.904,0,3076.904,3076.904,3076.904,471,N.A.
23:45 - 00:15,3075.937,-0.967,3076.904,3077.214,3073.368,470,N.A.
17JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3072.129,-3.808,3075.29,3075.708,3067.252,468,N.A.
00:45 - 01:15,3078.222,6.093,3072.129,3078.461,3070.554,469,N.A.
01:15 - 01:45,3074.183,-4.039,3078.222,3080.394,3074.183,468,N.A.
01:45 - 02:15,3075.496,1.313,3074.183,3075.604,3070.979,312,N.A.
19JAN2020_00:00:00.000000,,,,,,,
20:15 - 20:45,3075.349,-0.147,3082.113,3083.288,3070.509,302,N.A.
20:45 - 21:15,3080.148,4.799,3075.763,3084.115,3074.039,470,N.A.
21:15 - 21:45,3079.415,-0.733,3079.826,3083.642,3077.59,470,N.A.
21:45 - 22:15,3085.516,6.101,3079.415,3086.094,3077.391,470,N.A.
22:15 - 22:45,3088.586,3.07,3085.516,3088.636,3083.387,472,N.A.
22:45 - 23:15,3088.586,0,3088.586,3088.586,3088.586,472,N.A.
23:15 - 23:45,3088.586,0,3088.586,3088.586,3088.586,471,N.A.
23:45 - 00:15,3090.858,2.272,3088.586,3094.393,3088.586,470,N.A.
20JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3090.662,-0.196,3090.858,3093.077,3086.198,469,N.A.
00:45 - 01:15,3088.169,-2.493,3091.269,3092.179,3086.302,469,N.A.
01:15 - 01:45,3089.917,1.748,3088.323,3093.06,3086.712,469,N.A.
01:45 - 02:15,3095.787,5.87,3089.917,3096.269,3089.479,314,N.A.
20:15 - 20:45,3074.349,-21.438,3085.79,3085.79,3072.118,304,N.A.
20:45 - 21:15,3069.079,-5.27,3074.349,3074.956,3066.683,467,N.A.
21:15 - 21:45,3056.398,-12.681,3069.079,3072.297,3055.283,468,N.A.
21:45 - 22:15,3060.375,3.977,3056.654,3061.744,3054.159,468,N.A.
22:15 - 22:45,3063.561,3.186,3060.375,3064.445,3059.519,468,N.A.
22:45 - 23:15,3063.561,0,3063.561,3063.561,3063.561,470,N.A.
23:15 - 23:45,3063.561,0,3063.561,3063.561,3063.561,468,N.A.
23:45 - 00:15,3060.895,-2.666,3063.561,3063.561,3058.627,469,N.A.
21JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3055.989,-4.906,3061.646,3062.446,3055.632,469,N.A.
00:45 - 01:15,3055.581,-0.408,3055.111,3058.161,3052.597,468,N.A.
01:15 - 01:45,3055.189,-0.392,3055.754,3062.801,3055,469,N.A.
01:45 - 02:15,3052.142,-3.047,3054.774,3055.237,3051.297,311,N.A.
20:15 - 20:45,3015.915,-36.227,3038.487,3038.487,3015.915,303,N.A.
20:45 - 21:15,3016.331,0.416,3015.915,3018.395,3006.439,467,N.A.
21:15 - 21:45,3035.147,18.816,3015.935,3035.835,3014.963,467,N.A.
21:45 - 22:15,3035.291,0.144,3034.834,3039.897,3031.017,468,N.A.
22:15 - 22:45,3045.034,9.743,3035.369,3045.583,3034.749,468,N.A.
22:45 - 23:15,3045.034,0,3045.034,3045.034,3045.034,469,N.A.
23:15 - 23:45,3045.034,0,3045.034,3045.034,3045.034,469,N.A.
23:45 - 00:15,3050.781,5.747,3045.034,3050.781,3044.542,469,N.A.
22JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,3062.363,11.582,3050.781,3062.662,3048.312,469,N.A.
00:45 - 01:15,3064.283,1.92,3062.515,3064.52,3055.597,468,N.A.
01:15 - 01:45,3063.99,-0.293,3064.231,3069.253,3062.871,468,N.A.
01:45 - 02:15,3060.754,-3.236,3064.176,3064.537,3059.185,311,N.A.
20:15 - 20:45,3038.146,-22.608,3037.952,3038.391,3027.061,303,N.A.
20:45 - 21:15,3039.848,1.702,3038.148,3045.016,3036.207,468,N.A.
21:15 - 21:45,3021.921,-17.927,3038.797,3039.946,3020.899,467,N.A.
21:45 - 22:15,3016.81,-5.111,3021.565,3027.608,3013.073,469,N.A.
22:15 - 22:45,3016.179,-0.631,3017.385,3018.485,3009.523,468,N.A.
22:45 - 23:15,3016.179,0,3016.179,3016.179,3016.179,470,N.A.
23:15 - 23:45,3016.179,0,3016.179,3016.179,3016.179,469,N.A.
23:45 - 00:15,2986.708,-29.471,3016.179,3016.179,2985.906,469,N.A.
23JAN2020_00:00:00.000000,,,,,,,
00:15 - 00:45,2980.55,-6.158,2986.337,2992.407,2960.962,465,N.A.
00:45 - 01:15,2971.018,-9.532,2980.55,2982.945,2970.048,467,N.A.
01:15 - 01:45,2970.793,-0.225,2970.738,2970.793,2955.458,468,N.A.
01:45 - 02:15,2976.528,5.735,2971.096,2980.049,2971.096,312,N.A.
02FEB2020_00:00:00.000000,,,,,,,
20:15 - 20:45,2756.743,-219.785,2716.698,2756.743,2716.698,302,N.A.
20:45 - 21:15,2754.951,-1.792,2756.923,2766.499,2753.642,467,N.A.
21:15 - 21:45,2740.721,-14.23,2755.044,2756.836,2740.721,470,N.A.
21:45 - 22:15,2730.534,-10.187,2740.529,2740.811,2730.324,471,N.A.
22:15 - 22:45,2734.659,4.125,2730.805,2734.985,2729.828,470,N.A.
22:45 - 23:15,2734.659,0,2734.659,2734.659,2734.659,471,N.A.
23:15 - 23:45,2734.659,0,2734.659,2734.659,2734.659,472,N.A.
23:45 - 00:15,2744.884,10.225,2734.659,2744.884,2734.133,470,N.A.
03FEB2020_00:00:00.000000,,,,,,,
00:15 - 00:45,2745.091,0.207,2744.884,2752.489,2744.468,470,N.A.
00:45 - 01:15,2737.138,-7.953,2745.091,2745.235,2736.564,470,N.A.
01:15 - 01:45,2731.126,-6.012,2737.138,2739.79,2730.855,471,N.A.
01:45 - 02:15,2746.606,15.48,2730.975,2746.606,2728.649,313,N.A.
20:15 - 20:45,2738.389,-8.217,2685.269,2761.86,2685.269,303,N.A.
20:45 - 21:15,2757.815,19.426,2739.054,2772.056,2738.561,467,N.A.
21:15 - 21:45,2752.063,-5.752,2757.815,2769.247,2751.974,469,N.A.
21:45 - 22:15,2742.08,-9.983,2752.063,2752.116,2736.245,467,N.A.
22:15 - 22:45,2752.436,10.356,2742.08,2752.436,2741.086,469,N.A.
22:45 - 23:15,2752.436,0,2752.436,2752.436,2752.436,468,N.A.
23:15 - 23:45,2752.436,0,2752.436,2752.436,2752.436,468,N.A.
23:45 - 00:15,2759.069,6.633,2752.436,2759.429,2752.436,469,N.A.
04FEB2020_00:00:00.000000,,,,,,,
00:15 - 00:45,2772.622,13.553,2759.842,2773.1,2759.59,467,N.A.
00:45 - 01:15,2781.795,9.173,2772.637,2786.121,2772.637,467,N.A.
01:15 - 01:45,2780.56,-1.235,2781.795,2784.48,2774.931,468,N.A.
01:45 - 02:15,2783.288,2.728,2780.417,2784.583,2779.474,312,N.A.
20:15 - 20:45,2797.847,14.559,2792.371,2798.533,2779.337,301,N.A.
20:45 - 21:15,2815.976,18.129,2797.847,2818.863,2796.793,467,N.A.
21:15 - 21:45,2842.339,26.363,2816.414,2842.743,2813.876,467,N.A.
21:45 - 22:15,2820.963,-21.376,2842.339,2842.506,2820.283,468,N.A.
22:15 - 22:45,2828.753,7.79,2820.963,2828.753,2820.282,468,N.A.
22:45 - 23:15,2828.753,0,2828.753,2828.753,2828.753,470,N.A.
23:15 - 23:45,2828.753,0,2828.753,2828.753,2828.753,469,N.A.
23:45 - 00:15,2826.244,-2.509,2828.753,2830.804,2825.057,467,N.A.
05FEB2020_00:00:00.000000,,,,,,,
00:15 - 00:45,2809.469,-16.775,2827.067,2827.067,2805.56,466,N.A.
00:45 - 01:15,2813.463,3.994,2809.469,2815.971,2806.246,466,N.A.
01:15 - 01:45,2813.521,0.058,2813.058,2813.817,2803.624,467,N.A.
01:45 - 02:15,2818.088,4.567,2813.843,2819.508,2813.257,312,N.A.
20:15 - 20:45,2821.094,3.006,2826.885,2827.169,2807.609,302,N.A.
20:45 - 21:15,2827.332,6.238,2821.094,2829.896,2817.576,468,N.A.
21:15 - 21:45,2836.854,9.522,2827.332,2837.68,2822.953,468,N.A.
21:45 - 22:15,2843.12,6.266,2836.854,2844.002,2829.977,468,N.A.
22:15 - 22:45,2845.895,2.775,2844.2,2845.895,2840.366,467,N.A.
22:45 - 23:15,2845.895,0,2845.895,2845.895,2845.895,469,N.A.
23:15 - 23:45,2845.895,0,2845.895,2845.895,2845.895,469,N.A.
23:45 - 00:15,2854.101,8.206,2845.895,2855.504,2845.895,468,N.A.
06FEB2020_00:00:00.000000,,,,,,,
00:15 - 00:45,2860.464,6.363,2853.901,2861.172,2846.794,467,N.A.
00:45 - 01:15,2869.862,9.398,2860.692,2876.476,2860.221,467,N.A.
01:15 - 01:45,2859.01,-10.852,2869.906,2872.306,2851.474,468,N.A.
01:45 - 02:15,2866.51,7.5,2859.575,2866.51,2859.027,311,N.A.
20:15 - 20:45,2860.655,-5.855,2858.932,2861.25,2848.75,302,N.A.
20:45 - 21:15,2863.478,2.823,2861.896,2865.928,2848.825,468,N.A.
21:15 - 21:45,2861.768,-1.71,2863.478,2870.423,2861.463,467,N.A.
21:45 - 22:15,2847.489,-14.279,2861.445,2861.445,2838.859,468,N.A.
22:15 - 22:45,2849.508,2.019,2847.648,2853.562,2845.934,468,N.A.
22:45 - 23:15,2849.508,0,2849.508,2849.508,2849.508,469,N.A.
23:15 - 23:45,2849.508,0,2849.508,2849.508,2849.508,470,N.A.
23:45 - 00:15,2843.719,-5.789,2849.508,2849.508,2842.644,469,N.A.
07FEB2020_00:00:00.000000,,,,,,,
