Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
10:00 - 10:30,51090.54,86.33,51090.54,51090.54,51090.54,1,N.A.
09JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51090.54,0,51090.54,51090.54,51090.54,1,N.A.
02:00 - 02:30,51438.62,348.08,51106.05,51487.52,51072.26,4505,N.A.
02:30 - 03:00,51331.77,-106.85,51438.44,51522.6,51326.13,3310,N.A.
03:00 - 03:30,51102.85,-228.92,51330.53,51383.87,51094.14,4361,N.A.
03:30 - 04:00,51046.36,-56.49,51102.75,51106.84,51038,3277,N.A.
04:00 - 04:30,50952.74,-93.62,51046.54,51071.93,50951.12,2794,N.A.
04:30 - 05:00,50915.22,-37.52,50952.69,50952.75,50910.02,2111,N.A.
05:00 - 05:30,50965.73,50.51,50915.96,50989.99,50906.04,2413,N.A.
05:30 - 06:00,50989.64,23.91,50965.48,50989.75,50930.23,2208,N.A.
06:00 - 06:30,50963.57,-26.07,50990.04,51040.08,50956.06,1938,N.A.
06:30 - 07:00,50988.42,24.85,50965.76,51025.48,50959.5,2169,N.A.
07:00 - 07:30,50923.34,-65.08,50988.09,50989.54,50883.24,2847,N.A.
07:30 - 08:00,50971.68,48.34,50922.14,51000.9,50889.65,2568,N.A.
08:00 - 08:30,50895.22,-76.46,50971.6,50975.49,50884.07,2582,N.A.
08:30 - 09:00,50832.87,-62.35,50895.27,50907.61,50807.76,3213,N.A.
09:00 - 09:30,50863.25,30.38,50832.76,50863.25,50824.46,3627,N.A.
09:30 - 10:00,50891.46,28.21,50863.1,50905.47,50852.13,3727,N.A.
10:00 - 10:30,50916.06,24.6,50916.06,50916.06,50916.06,1,N.A.
10JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,50916.06,0,50916.06,50916.06,50916.06,1,N.A.
02:00 - 02:30,51006.04,89.98,50907.29,51255.63,50892.54,2500,N.A.
02:30 - 03:00,51176.31,170.27,51010.84,51178.15,51010.71,2263,N.A.
03:00 - 03:30,51148.94,-27.37,51176.59,51226.04,51137.87,4092,N.A.
03:30 - 04:00,51077.51,-71.43,51148.86,51162.79,51056.06,2367,N.A.
04:00 - 04:30,51142.58,65.07,51077.53,51147.09,51058.43,2381,N.A.
04:30 - 05:00,51184.65,42.07,51142.6,51196.91,51142.6,2656,N.A.
05:00 - 05:30,51181.52,-3.13,51182.98,51197.54,51166.77,2270,N.A.
05:30 - 06:00,51196.89,15.37,51181.51,51214.65,51171.91,2043,N.A.
06:00 - 06:30,51195.1,-1.79,51196.86,51217.72,51185.52,1862,N.A.
06:30 - 07:00,51197.84,2.74,51195.19,51229.84,51186.36,2119,N.A.
07:00 - 07:30,51205.28,7.44,51197.91,51226.28,51183.63,2536,N.A.
07:30 - 08:00,51141.69,-63.59,51205.3,51210.92,51127.3,2151,N.A.
08:00 - 08:30,51162.96,21.27,51141.79,51166.88,51118.32,2482,N.A.
08:30 - 09:00,51197.91,34.95,51166.37,51202.08,51087,4033,N.A.
09:00 - 09:30,51235.98,38.07,51198.03,51292.44,51197.87,4598,N.A.
09:30 - 10:00,51253.21,17.23,51235.83,51271.62,51205.56,4004,N.A.
10:00 - 10:30,51245.43,-7.78,51245.43,51245.43,51245.43,1,N.A.
13JAN2020_00:00:00.000000,,,,,,,
01:30 - 02:00,51245.43,0,51245.43,51245.43,51245.43,1,N.A.
02:00 - 02:30,51558.16,312.73,51269.07,51582.32,51269.07,2711,N.A.
02:30 - 03:00,51516.18,-41.98,51559.2,51568.65,51453.46,3101,N.A.
03:00 - 03:30,51490.28,-25.9,51516.22,51533.74,51391.42,3469,N.A.
03:30 - 04:00,51527.61,37.33,51488.92,51570.98,51480.5,2333,N.A.
04:00 - 04:30,51462.68,-64.93,51527.62,51531.21,51441.81,2423,N.A.
04:30 - 05:00,51426.81,-35.87,51462.07,51479.53,51413.87,2372,N.A.
05:00 - 05:30,51411.32,-15.49,51426.22,51454.36,51405.36,2640,N.A.
05:30 - 06:00,51413.61,2.29,51411.4,51476.7,51402.19,2605,N.A.
06:00 - 06:30,51365.73,-47.88,51412.2,51413.79,51357.31,2523,N.A.
06:30 - 07:00,51196.37,-169.36,51365.42,51370.72,51186.86,3813,N.A.
07:00 - 07:30,51226.85,30.48,51196.49,51256.04,51147.11,3036,N.A.
07:30 - 08:00,51259.22,32.37,51226.56,51260.38,51198,2384,N.A.
08:00 - 08:30,51281.57,22.35,51259.32,51299.58,51249.21,3249,N.A.
08:30 - 09:00,51309.01,27.44,51281.79,51341.27,51276.9,3660,N.A.
09:00 - 09:30,51256.63,-52.38,51309.01,51325.13,51249.31,4735,N.A.
09:30 - 10:00,51299.51,42.88,51257.1,51331.12,51227.49,5261,N.A.
10:00 - 10:30,51343.39,43.88,51343.39,51343.39,51343.39,1,N.A.
